question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+multimodal_acc,+multimodal_faith,+multimodal_rel,+multimodal_rec,+multimodal_mrr,+multimodal_in_tok,+multimodal_out_tok,+multimodal_latency_ms,+multimodal_cost_usd,+multimodal_answer,+multimodal_error,+both_acc,+both_faith,+both_rel,+both_rec,+both_mrr,+both_in_tok,+both_out_tok,+both_latency_ms,+both_cost_usd,+both_answer,+both_error
"In the German Nationwide Survey, what was the incidence of pulmonary embolism after bariatric surgery, and what was the incidence of VTE after gastric banding according to the BOLD Registry?",PMC3400389_00002.txt,multihop,llama-70b,1,0,1,1,1.0,580,56,652.0,0.000386,"According to the provided context, in the German Nationwide Survey, the incidence of pulmonary embolism (PE) after bariatric surgery was 0.08%.   The incidence ",,0,0,1,1,1.0,671,141,529.7,0.000507,"The provided context passages do not mention the incidence of pulmonary embolism after bariatric surgery in the German Nationwide Survey. However, according to ",,1,0,1,1,1.0,636,74,345.2,0.000434,"According to the text, in the German Nationwide Survey, the incidence of pulmonary embolism (PE) after bariatric surgery was 0.08%.   The BOLD Registry reported",,0,1,0,1,1.0,731,116,491.1,0.000523,"The text does not provide the incidence of pulmonary embolism after bariatric surgery from the German Nationwide Survey. However, according to the text, the Ger",
"What is the odds ratio for headache in individuals with chronic pain, and what is it for back pain?",PMC4913715_00002.txt,multihop,llama-70b,0,0,1,0,0.0,518,51,322.8,0.000346,I don't know. The provided context does not mention the odds ratio for headache in individuals with chronic pain or back pain. It does mention odds ratios for m,,0,0,1,0,0.0,546,61,241.2,0.00037,"I don't know the odds ratio for headache in individuals with chronic pain or back pain, as this information is not provided in the given context passages or kno",,0,0,1,0,0.0,573,66,372.1,0.00039,I don't know. The provided text does not mention the odds ratio for headache in individuals with chronic pain or back pain. It does mention odds ratios for othe,,0,0,1,0,0.0,605,54,273.0,0.0004,I don't know. The provided text context does not mention the odds ratio for headache in individuals with chronic pain or back pain. The text context does mentio,
"What does the new global dataset on killings of journalists between 2002 and 2013 reveal about the perpetrators of all killings, and what does the analysis show about the likelihood of state repression deteriorating in the following two years after journalists are killed?",PMC5427995_00002.txt,multihop,llama-70b,1,1,1,1,1.0,472,65,270.3,0.00033,"The new global dataset on killings of journalists between 2002 and 2013 reveals that in all killings, the perpetrators usually remain unconfirmed. The analysis ",,1,1,1,1,1.0,552,64,238.6,0.000376,The new global dataset on killings of journalists between 2002 and 2013 reveals that the perpetrators of all killings usually remain unconfirmed. The analysis s,,1,1,1,1,1.0,529,65,273.0,0.000363,"The new global dataset on killings of journalists between 2002 and 2013 reveals that in all killings, the perpetrators usually remain unconfirmed. The analysis ",,1,1,1,1,1.0,613,65,271.6,0.000413,"The new global dataset on killings of journalists between 2002 and 2013 reveals that in all killings, the perpetrators usually remain unconfirmed. The analysis ",
"What percentage of Native Hawaiians and other Pacific Islanders were among the highest of all ethnic groups for obesity, and what type of program was culturally adapted to reduce diabetes and improve weight and exercise in worksites serving these populations?",PMC4927448_00000.txt,multihop,llama-70b,1,1,1,1,1.0,515,69,254.2,0.000358,"According to the text, 72% of Native Hawaiians and 27% of other Pacific Islanders were among the highest of all ethnic groups for obesity. The program that was ",,1,1,1,1,1.0,526,82,356.1,0.000375,"According to the context passages, 72% of Native Hawaiians and 27% of other Pacific Islanders were among the highest of all ethnic groups for obesity, although ",,1,1,1,1,1.0,570,88,341.2,0.000406,"According to the text, 72% of Native Hawaiians and 27% of other Pacific Islanders were among the highest of all ethnic groups for obesity, although the exact co",,1,1,1,1,1.0,585,68,528.5,0.000399,"According to the provided text context, 72.5% of Native Hawaiians and 27% of other Pacific Islanders were among the highest of all ethnic groups for obesity. Th",
"What is the retention factor for moxonidine under the optimal HILIC conditions, and what is the recovery percentage for impurity A?",PMC5101389_00000.txt,multihop,llama-70b,1,1,1,1,1.0,467,76,561.7,0.000336,"I don't know the retention factor for moxonidine under the optimal HILIC conditions, as it is not provided in the given context. Additionally, I don't know the ",,0,0,1,1,1.0,581,115,513.6,0.000434,I don't know the retention factor for moxonidine under the optimal HILIC conditions. The provided context passages do not mention the retention factor.  As for ,,0,0,1,1,1.0,534,80,435.7,0.000378,I don't know the retention factor for moxonidine under the optimal HILIC conditions. The text does mention that the method has accuracy (recovery: > 99%) but do,,1,0,1,1,1.0,652,49,232.9,0.000423,"I don't know the retention factor for moxonidine under the optimal HILIC conditions, and I also don't know the recovery percentage for impurity A. The provided ",
"What is the vapor pressure of 1-butanol at 304 K, and what is the vapor pressure of 1-nonanol at the same temperature?",PMC5704694_00001.txt,multihop,llama-70b,0,0,1,1,1.0,538,30,160.5,0.000341,I don't know. The provided context does not mention the vapor pressure of 1-butanol or 1-nonanol at 304 K.,,0,0,1,1,1.0,549,37,220.2,0.000353,I don't know. The provided context passages and knowledge-graph facts do not contain information about the vapor pressure of 1-butanol or 1-nonanol at 304 K.,,0,0,1,1,1.0,611,67,420.9,0.000413,I don't know. The provided text context does not mention the vapor pressure of 1-butanol or 1-nonanol at 304 K. The text appears to discuss computational predic,,0,0,1,1,1.0,626,39,200.0,0.0004,"I don't know. The provided text context, knowledge-graph facts, and image descriptions do not mention the vapor pressure of 1-butanol or 1-nonanol at 304 K.",
"What is the number of cases reported for the 20–24 age group in the 2013 data, and what is the corresponding number for the 25–29 age group?",PMC4359599_00004.txt,multihop,llama-70b,0,0,1,0,0.0,689,61,315.6,0.000455,I don't know. The provided context does not mention the number of cases for the 20-24 age group or the 25-29 age group in the 2013 data. It discusses different ,,0,0,1,0,0.0,715,60,334.2,0.000469,I don't know. The provided context passages do not mention the specific numbers of cases for the 20-24 and 25-29 age groups in the 2013 data. The passages provi,,0,0,1,0,0.0,737,117,415.3,0.000527,I don't know. The provided text context does not mention the number of cases reported for the 20-24 age group or the 25-29 age group in the 2013 data. The text ,,0,0,1,0,0.0,767,108,452.5,0.000538,I don't know. The provided text context does not mention the specific number of cases for the 20-24 age group or the 25-29 age group in the 2013 data. The text ,
"What is the age range of the males with FXS in the Repetitive Behavior Questionnaire study, and how many such individuals were included?",PMC5467057_00021.txt,multihop,llama-70b,1,1,1,1,1.0,524,28,225.8,0.000331,"The age range of the males with FXS in the study is 6-17 years, and there were 191 individuals included.",,1,1,1,1,1.0,560,29,649.8,0.000353,"The age range of the males with FXS in the study is 6-17 years, and there were 191 such individuals included.",,1,1,1,1,1.0,586,28,262.0,0.000368,"The age range of the males with FXS in the study is 6-17 years, and there were 191 individuals included.",,1,1,1,1,1.0,626,29,259.5,0.000392,"The age range of the males with FXS in the study is 6-17 years, and there were 191 such individuals included.",
"What is the correlation between wave V latency and implant experience in the prelingual group, and what time constant describes the exponential decay of wave V latency on the middle electrode in prelingual subjects?",PMC4569605_00005.txt,multihop,llama-70b,0,1,1,1,1.0,609,98,402.1,0.000437,"In the prelingual group, the correlation between wave V latency and implant experience is significant, with a correlation coefficient of -0.706 (p = 0.004).   A",,1,1,1,1,1.0,667,60,259.7,0.000441,"In the prelingual group, the correlation between wave V latency and implant experience is significant, with a correlation coefficient of -0.706 (P = 0.04).   Th",,1,1,1,1,1.0,672,64,329.5,0.000447,"In the prelingual group, the correlation between wave V latency and implant experience is significant, with a correlation coefficient of -0.706 (p = 0.004, Figu",,1,1,1,1,1.0,734,57,287.8,0.000478,"In the prelingual group, wave V latency is significantly correlated to implant experience, with a correlation coefficient of -0.706 (p = 0.004). The time consta",
What was the effect of celecoxib treatment on the escape latency and path length in diabetic rats compared to the diabetic group?,PMC5486519_00004.txt,multihop,llama-70b,1,1,1,1,1.0,540,77,350.3,0.000379,The effect of celecoxib treatment on the escape latency (Fig. 2c) and path length (Fig. 2) in diabetic rats was that they were significantly decreased compared ,,0,0,1,1,1.0,618,89,388.7,0.000435,"According to the context passage, in the group of diabetics treated with celecoxib (also referred to as ""econ""), the escape latency and path length were signifi",,0,0,1,1,1.0,599,97,460.0,0.00043,"The text states that in the group of diabetics treated with celecoxib (referred to as ""econ"" in the text), the escape latency and path length were significantly",,0,0,1,1,1.0,681,80,392.1,0.000465,"The text context states that in the group of diabetics treated with celecoxib, the escape latency and path length were significantly increased compared to the d",
