question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error
"According to the 2001 census, what was the population of the city in which Kirton End is located?",Boston_Lincolnshire.txt|Kirton_End.txt,hotpot_bridge,gpt4o-mini,0,0,0,0.5,0,1.0,310,4,1249.6,4.9e-05,I don't know.,,0,0,0,0.5,0,1.0,415,4,1178.4,6.5e-05,I don't know.,
Andrew Jaspan was the co-founder of what not-for-profit media outlet?,Andrew_Jaspan.txt|The_Conversation_website.txt,hotpot_bridge,gpt4o-mini,1,1,1,1.0,1,1.0,332,12,895.6,5.7e-05,"Andrew Jaspan was the co-founder of ""The Conversation.""",,1,1,1,1.0,1,1.0,408,12,683.2,6.8e-05,"Andrew Jaspan was the co-founder of ""The Conversation.""",
Who was Chamberlain and Colonel of the military staff of The Merrie Monarch?,Charles_Hastings_Judd.txt|Kalakaua_055843.txt,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,347,4,534.8,5.4e-05,I don't know.,,0,0,0,0.0,0,0.0,360,4,868.8,5.6e-05,I don't know.,
"Which song was behind the third single on the album  ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts?",Chattahoochee_song.txt|We_ll_Burn_That_Bridge.txt,hotpot_bridge,gpt4o-mini,0,0,0,0.5,0,0.5,408,4,484.0,6.4e-05,I don't know.,,0,0,0,0.5,0,0.5,447,4,677.9,6.9e-05,I don't know.,
What is the name of the Isles who were led by Aonghus Mór and covered a total land area of over 8300 km2?,Aonghus_Mor_b5e643.txt|Kingdom_of_the_Isles.txt,hotpot_bridge,gpt4o-mini,0,1,1,0.5,0,0.5,417,14,1012.3,7.1e-05,The name of the Isles is the Kingdom of Mann and the Isles.,,1,0,1,0.5,0,0.5,441,16,1629.7,7.6e-05,"The name of the Isles is the ""Kingdom of Mann and the Isles.""",
Which country did the Falkland Islands beat in the 2010 Commonwealth games that has eleven administrative divisions?,Gerald_Reive.txt|Samoa.txt,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,263,4,572.6,4.2e-05,I don't know.,,0,0,0,0.0,0,0.0,311,4,547.4,4.9e-05,I don't know.,
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,End_of_Days_film.txt|Oh_My_God_Guns_N_Roses_song.txt,hotpot_bridge,gpt4o-mini,1,0,1,0.5,0,0.333,291,27,949.4,6e-05,"Guns N' Roses performed a promo for the movie ""End of Days,"" which stars Arnold Schwarzenegger, in 1999.",,0,0,0,0.5,0,0.333,384,4,455.4,6e-05,I don't know.,
"What station broadcast the episode ""Marry Me a Little, Marry Me a Little More"" , of the series created by Max Mutchnick and David Kohan?",Marry_Me_a_Little_Marry_Me_a_Little_More.txt|Will_&amp;_Grace.txt,hotpot_bridge,gpt4o-mini,1,1,1,0.5,0,1.0,426,26,832.2,7.9e-05,"The episode ""Marry Me a Little, Marry Me a Little More"" was broadcast on the National Broadcasting Company (NBC).",,1,1,1,0.5,0,1.0,576,21,1040.7,9.9e-05,"The episode ""Marry Me a Little, Marry Me a Little More"" was broadcast by NBC.",
Which professional baseball player and National 1993 Baseball Hall of Fame inductee is featured in the Greatest Sports Legends anthology? ,Greatest_Sports_Legends.txt|Reggie_Jackson.txt,hotpot_bridge,gpt4o-mini,0,0,0,0.5,0,1.0,236,4,553.2,3.8e-05,I don't know.,,0,0,0,0.5,0,1.0,255,4,520.8,4.1e-05,I don't know.,
"During Siege of Bharatpur, which Commander-in-Chief of Ireland and Commander-in-Chief of India contributed to the storming of the castle?",Siege_of_Bharatpur.txt|Stapleton_Cotton_1st_Viscount_Combermere.txt,hotpot_bridge,gpt4o-mini,0,0,0,0.5,0,1.0,346,37,1972.6,7.4e-05,The context does not provide the name of the specific Commander-in-Chief of Ireland or Commander-in-Chief of India who contributed to the storming of Bharatpur.,,1,0,1,0.5,0,1.0,427,27,800.2,8e-05,"The Commander-in-Chief who contributed to the storming of Bharatpur was Stapleton Cotton, 1st Viscount Combermere.",
2014 S/S is the debut album of a South Korean boy group that was formed by who?,2014_S_S.txt|Winner_band.txt,hotpot_bridge,gpt4o-mini,1,1,1,0.5,0,1.0,389,23,877.4,7.2e-05,"2014 S/S is the debut album of South Korean group WINNER, which was formed by YG Entertainment.",,0,0,0,0.5,0,1.0,477,4,648.7,7.4e-05,I don't know.,
