question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+multimodal_acc,+multimodal_faith,+multimodal_rel,+multimodal_rec,+multimodal_complete,+multimodal_mrr,+multimodal_in_tok,+multimodal_out_tok,+multimodal_latency_ms,+multimodal_cost_usd,+multimodal_answer,+multimodal_error,+both_acc,+both_faith,+both_rel,+both_rec,+both_complete,+both_mrr,+both_in_tok,+both_out_tok,+both_latency_ms,+both_cost_usd,+both_answer,+both_error
What vaccine is currently the only one used in China for leptospirosis?,PMC5985562_00009.txt,text,gemini-flash-lite,1,1,1,1,1,1.0,459,19,546.5,5.4e-05,A multivalent inactivated vaccine is currently the only one used in China for leptospirosis.,,1,1,1,1,1,1.0,474,18,517.7,5.5e-05,The currently used vaccine in China for leptospirosis is a multivalent inactivated vaccine.,,1,0,1,1,1,1.0,1547,28,1152.2,0.000166,"According to the provided text, the ""mulalent inactivated vaccine"" is currently the only one used in China for leptospirosis.",,1,1,1,1,1,1.0,1566,25,615.2,0.000167,"According to the provided text, a multivalent inactivated vaccine is currently the only one used in China for leptospirosis.",
What percentage increase in signal was observed for buprenorphine in the binary mixture when analyzed by TD-DART-MS?,PMC5731661_00008.txt,text,gemini-flash-lite,0,1,1,1,1,1.0,502,32,491.9,6.3e-05,A 32.3% increase in signal was observed for buprenorphine in the binary mixture when analyzed by TD-DART-MS.,,1,1,1,1,1,1.0,553,31,435.0,6.8e-05,A 323% increase in signal was observed for buprenorphine in the binary mixture when analyzed by TD-DART-MS.,,0,1,1,1,1,1.0,1598,32,989.7,0.000173,A 32.3% increase in signal was observed for buprenorphine in the binary mixture when analyzed by TD-DART-MS.,,0,1,1,1,1,1.0,1653,32,639.7,0.000178,A 32.3% increase in signal was observed for buprenorphine in the binary mixture when analyzed by TD-DART-MS.,
What is the name of the instrument developed at Laval University to measure doctor-patient communication competency in medical students?,PMC5658909_00001.txt,text,gemini-flash-lite,0,0,0,1,1,1.0,445,46,538.6,6.3e-05,"The provided text does not state the name of the instrument developed at Laval University. It mentions an instrument called ""Competency for Medical Students (DP",,0,0,0,1,1,1.0,540,6,470.2,5.6e-05,I don't know.,,0,0,0,1,1,1.0,1550,21,882.8,0.000163,I don't know. The provided text and image do not mention an instrument developed at Laval University.,,0,0,0,1,1,1.0,1649,6,572.9,0.000167,I don't know.,
What linguistic cue indicates that the speaker knows what they are saying is factually not true in counterfactual comprehension?,PMC5018041_00001.txt,text,gemini-flash-lite,1,1,1,1,1,1.0,387,23,499.2,4.8e-05,The provided context indicates that the subjunctive mood is used to convey information that is factually false in counterfactual comprehension.,,1,1,1,1,1,1.0,435,31,471.9,5.6e-05,The provided context and knowledge-graph facts indicate that the subjunctive mood is the linguistic cue used in counterfactual comprehension to convey informati,,1,1,0,1,1,1.0,1465,19,891.3,0.000154,"According to the provided text, counterfactual comprehension relies on the successful comprehension of the subjunctive mood.",,1,1,1,1,1,1.0,1517,8,707.5,0.000155,The linguistic cue is the subjunctive mood.,
What was the primary diagnosis of the 115 women in the BED group?,PMC3051108_00002.txt,text,gemini-flash-lite,1,1,1,1,1,1.0,491,22,405.4,5.8e-05,The primary diagnosis of the 115 women in the BED group was BED (Binge Eating Disorder).,,1,0,1,1,1,1.0,512,22,408.5,6e-05,The primary diagnosis of the 115 women in the BED group was BED (Binge Eating Disorder).,,1,1,1,1,1,1.0,1578,18,777.9,0.000165,The primary diagnosis of the women in the BED group was BED (Binge Eating Disorder).,,1,1,1,1,1,1.0,1603,18,510.9,0.000168,The primary diagnosis of the women in the BED group was BED (Binge Eating Disorder).,
What type of mice were used to evaluate the protective role of EGCG against diabetic testicular damage?,PMC5733955_00001.txt,text,gemini-flash-lite,0,1,1,1,1,1.0,480,25,387.7,5.8e-05,Eight-week-old normal and diabetic male C57BL/6 wild-type and Nef knockout mice were used.,,1,1,1,1,1,1.0,563,41,460.2,7.3e-05,The mice used to evaluate the protective role of EGCG against diabetic testicular damage were eight-week-old normal and diabetic male C57BL/6 wild-type and Nrf2,,1,0,1,1,1,1.0,1575,27,723.6,0.000168,Eight-week-old normal and diabetic male C57BL/6 wild-type and Nrf2 knockout mice were used.,,1,1,1,1,1,1.0,1662,39,651.4,0.000182,Eight-week-old normal and diabetic male C57BL/6 wild-type and Nrf2 knockout mice were used to evaluate the protective role of EGCG against diabetic testicular d,
What questionnaire module is used alongside the EORTC QLQ-C30 to assess breast cancer-specific symptoms?,PMC5759866_00005.txt,text,gemini-flash-lite,0,0,1,1,1,1.0,531,32,473.5,6.6e-05,The breast cancer-specific module used alongside the EORTC-QLQ-C30 is the EORTC-QLQ-BR23.,,0,0,1,1,1,1.0,625,32,659.2,7.5e-05,The breast cancer-specific module used alongside the EORTC-QLQ-C30 is the EORTC-QLQ-BR23.,,0,0,1,1,1,1.0,1640,32,986.4,0.000177,The breast cancer-specific module used alongside the EORTC-QLQ-C30 is the EORTC-QLQ-BR23.,,0,0,1,1,1,1.0,1738,32,904.9,0.000187,The breast cancer-specific module used alongside the EORTC-QLQ-C30 is the EORTC-QLQ-BR23.,
What year is associated with the Cngenve ae Fae nvsom esas entity in the passage?,PMC4974260_00004.txt,text,gemini-flash-lite,0,0,0,0,0,0.0,483,6,385.6,5.1e-05,I don't know.,,0,0,0,0,0,0.0,498,6,406.4,5.2e-05,I don't know.,,0,0,1,0,0,0.0,1546,32,1203.0,0.000167,"I don't know. The provided text and image do not contain the phrase ""Cngenve ae Fae nvsom"" or any associated year.",,0,0,0,0,0,0.0,1565,6,758.9,0.000159,I don't know.,
What term did the vocational trainees in this Swedish general practice study use to refer to a specific refugee group?,PMC4205530_00005.txt,text,gemini-flash-lite,1,0,1,1,1,1.0,460,22,540.7,5.5e-05,"The vocational trainees in the study used the term ""Somali patient"" to refer to the specific refugee group.",,1,0,1,1,1,1.0,491,22,561.9,5.8e-05,"The vocational trainees in the study used the term ""Somali patient"" to refer to the specific refugee group.",,1,0,1,1,1,1.0,1550,22,910.4,0.000164,"The vocational trainees in the study used the term ""Somali patient"" to refer to the specific refugee group.",,1,0,1,1,1,1.0,1585,21,1032.0,0.000167,"The vocational trainees in the study used the term ""Somali patient"" to refer to the refugee group.",
What two approaches are discussed for assessing the grammatical abilities of nonhuman animals?,PMC5325849_00000.txt,text,gemini-flash-lite,1,1,1,1,1,1.0,443,55,525.1,6.6e-05,The two approaches discussed for assessing the grammatical abilities of nonhuman animals are:  1. Comparing the syntax of animal vocalizations with that of lang,,1,1,1,1,1,1.0,464,55,571.9,6.8e-05,The two approaches discussed for assessing the grammatical abilities of nonhuman animals are:  1. Comparing the syntax of animal vocalizations with that of lang,,1,1,1,1,1,1.0,1542,61,983.9,0.000179,The two approaches discussed for assessing the grammatical abilities of nonhuman animals are:  1. Comparing the structure of animal vocalizations with that of l,,1,1,1,1,1,1.0,1567,66,893.5,0.000183,The two approaches discussed for assessing the grammatical abilities of nonhuman animals are:  1. Comparing the structure of animal vocalizations with that of l,
