question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+multimodal_acc,+multimodal_faith,+multimodal_rel,+multimodal_rec,+multimodal_mrr,+multimodal_in_tok,+multimodal_out_tok,+multimodal_latency_ms,+multimodal_cost_usd,+multimodal_answer,+multimodal_error,+both_acc,+both_faith,+both_rel,+both_rec,+both_mrr,+both_in_tok,+both_out_tok,+both_latency_ms,+both_cost_usd,+both_answer,+both_error
"In the German Nationwide Survey, what was the incidence of pulmonary embolism after bariatric surgery, and what was the incidence of VTE after gastric banding according to the BOLD Registry?",PMC3400389_00002.txt,multihop,gpt4o-mini,1,0,1,1,1.0,535,57,2343.5,0.000114,"In the German Nationwide Survey, the incidence of pulmonary embolism (PE) after bariatric surgery was reported as 0.08%. According to the BOLD Registry, the inc",,0,0,0,1,1.0,625,4,697.2,9.6e-05,I don't know.,,1,0,1,1,1.0,9041,57,1649.0,0.00139,"In the German Nationwide Survey, the incidence of pulmonary embolism (PE) after bariatric surgery was reported as 0.08%. According to the BOLD Registry, the inc",,1,0,1,1,1.0,9135,57,1820.0,0.001404,"In the German Nationwide Survey, the incidence of pulmonary embolism (PE) after bariatric surgery was reported as 0.08%. According to the BOLD Registry, the inc",
"What is the odds ratio for headache in individuals with chronic pain, and what is it for back pain?",PMC4913715_00002.txt,multihop,gpt4o-mini,0,0,0,0,0.0,480,4,610.8,7.4e-05,I don't know.,,0,0,0,0,0.0,510,4,548.9,7.9e-05,I don't know.,,0,0,1,0,0.0,8986,58,1562.5,0.001383,The odds ratio (OR) for headache in individuals with chronic pain is not provided in the text context or the table. The table includes odds ratios for different,,0,0,1,0,0.0,9020,123,2430.0,0.001427,The odds ratio (OR) for headache in individuals with chronic pain is as follows:  - **Mild depression**: OR = 2.59 (95% CI: 2.03–3.31) - **Moderate depression**,
"What does the new global dataset on killings of journalists between 2002 and 2013 reveal about the perpetrators of all killings, and what does the analysis show about the likelihood of state repression deteriorating in the following two years after journalists are killed?",PMC5427995_00002.txt,multihop,gpt4o-mini,1,1,1,1,1.0,440,63,1711.9,0.000104,The new global dataset on killings of journalists between 2002 and 2013 reveals that the perpetrators of all killings usually remain unconfirmed. The analysis s,,1,1,1,1,1.0,522,63,1222.5,0.000116,The new global dataset on killings of journalists between 2002 and 2013 reveals that the perpetrators of all killings usually remain unconfirmed. The analysis s,,1,1,1,1,1.0,8946,63,1807.2,0.00138,The new global dataset on killings of journalists between 2002 and 2013 reveals that the perpetrators of these killings usually remain unconfirmed. The analysis,,1,1,1,1,1.0,9032,65,1417.5,0.001394,The new global dataset on killings of journalists between 2002 and 2013 reveals that the perpetrators of these killings usually remain unconfirmed. Additionally,
"What percentage of Native Hawaiians and other Pacific Islanders were among the highest of all ethnic groups for obesity, and what type of program was culturally adapted to reduce diabetes and improve weight and exercise in worksites serving these populations?",PMC4927448_00000.txt,multihop,gpt4o-mini,0,0,1,1,1.0,487,48,1162.2,0.000102,"The percentage of Native Hawaiians among the highest of all ethnic groups for obesity is 725%, and the program that was culturally adapted to reduce diabetes an",,0,0,1,1,1.0,500,48,1474.6,0.000104,"The percentage of Native Hawaiians among the highest of all ethnic groups for obesity is 725%, and the program that was culturally adapted to reduce diabetes an",,1,0,1,1,1.0,8993,56,1188.1,0.001383,The text indicates that Native Hawaiians comprised 72% and other Pacific Islanders 27% among the highest of all ethnic groups for obesity. The program that was ,,0,0,1,1,1.0,9010,48,1347.3,0.00138,"The percentage of Native Hawaiians among the highest of all ethnic groups for obesity is 725%, and the program that was culturally adapted to reduce diabetes an",
"What is the retention factor for moxonidine under the optimal HILIC conditions, and what is the recovery percentage for impurity A?",PMC5101389_00000.txt,multihop,gpt4o-mini,0,0,0,1,1.0,427,4,648.7,6.6e-05,I don't know.,,0,0,0,1,1.0,548,4,473.0,8.5e-05,I don't know.,,0,0,1,1,1.0,8933,28,2215.6,0.001357,"I don't know the retention factor for moxonidine under the optimal HILIC conditions, nor the recovery percentage for impurity A.",,0,0,1,1,1.0,9058,28,1287.9,0.001375,"I don't know the retention factor for moxonidine under the optimal HILIC conditions, nor the recovery percentage for impurity A.",
"What is the vapor pressure of 1-butanol at 304 K, and what is the vapor pressure of 1-nonanol at the same temperature?",PMC5704694_00001.txt,multihop,gpt4o-mini,0,0,0,1,1.0,496,4,870.3,7.7e-05,I don't know.,,0,0,0,1,1.0,509,4,1442.3,7.9e-05,I don't know.,,0,0,1,1,1.0,9002,29,1208.7,0.001368,I don't know the vapor pressure of 1-butanol or 1-nonanol at 304 K based on the provided text context.,,0,0,1,1,1.0,9019,29,3857.9,0.00137,I don't know the vapor pressure of 1-butanol or 1-nonanol at 304 K based on the provided text context.,
"What is the number of cases reported for the 20–24 age group in the 2013 data, and what is the corresponding number for the 25–29 age group?",PMC4359599_00004.txt,multihop,gpt4o-mini,0,0,0,0,0.0,654,4,1155.9,0.0001,I don't know.,,0,0,0,0,0.0,681,4,608.7,0.000105,I don't know.,,0,0,0,0,0.0,9160,4,7104.8,0.001376,I don't know.,,0,0,0,0,0.0,9191,4,1303.8,0.001381,I don't know.,
"What is the age range of the males with FXS in the Repetitive Behavior Questionnaire study, and how many such individuals were included?",PMC5467057_00021.txt,multihop,gpt4o-mini,1,1,1,1,1.0,482,32,1069.3,9.2e-05,"The age range of the males with FXS in the Repetitive Behavior Questionnaire study is 6-17 years, and there were 191 individuals included.",,1,1,1,1,1.0,520,32,863.0,9.7e-05,"The age range of the males with FXS in the Repetitive Behavior Questionnaire study is 6-17 years, and there were 191 individuals included.",,1,1,1,1,1.0,8988,35,1240.4,0.001369,"The age range of the males with FXS in the Repetitive Behavior Questionnaire study is 6-17 years, and there were 191 individuals included in that group.",,1,1,1,1,1.0,9030,35,1581.1,0.001375,"The age range of the males with FXS in the Repetitive Behavior Questionnaire study is 6-17 years, and there were 191 individuals included in the study.",
"What is the correlation between wave V latency and implant experience in the prelingual group, and what time constant describes the exponential decay of wave V latency on the middle electrode in prelingual subjects?",PMC4569605_00005.txt,multihop,gpt4o-mini,1,1,1,1,1.0,562,54,1779.6,0.000117,"In the prelingual group, wave V latency was significantly correlated with implant experience, with a correlation coefficient of -0.706. The time constant that d",,1,1,1,1,1.0,622,44,1413.3,0.00012,"In the prelingual group, wave V latency is significantly correlated with implant experience. The time constant that describes the exponential decay of wave V la",,1,1,1,1,1.0,9068,54,2153.6,0.001393,"In the prelingual group, wave V latency is significantly correlated with implant experience, with a correlation coefficient of -0.706. The time constant that de",,1,1,1,1,1.0,9132,44,1396.7,0.001396,"In the prelingual group, wave V latency is significantly correlated with implant experience. The time constant that describes the exponential decay of wave V la",
What was the effect of celecoxib treatment on the escape latency and path length in diabetic rats compared to the diabetic group?,PMC5486519_00004.txt,multihop,gpt4o-mini,1,1,1,1,1.0,503,29,809.8,9.3e-05,The celecoxib treatment significantly decreased the escape latency and path length in the diabetic group compared to the diabetic animals that did not receive t,,1,1,1,1,1.0,583,20,820.9,9.9e-05,Celecoxib treatment significantly decreased escape latency and path length in diabetic rats compared to the diabetic group.,,1,1,1,1,1.0,9009,31,1147.8,0.00137,"Celecoxib treatment significantly decreased the escape latency and path length in diabetic rats compared to the diabetic group, suggesting that it improved perf",,1,1,1,1,1.0,9093,42,1079.6,0.001389,Celecoxib treatment significantly decreased escape latency and path length in diabetic rats compared to the diabetic group. This suggests that celecoxib treatme,
